dyad,cty1,cty2,policy,dgr_d,cls_d,btw_d,cnt_d,workgroup,v15,v18
BEAT,BE,AT,0.409090909,0,0.001358696,0.002621083,0,1,0,0
BEBG,BE,BG,0.333333333,0,0.001358696,0.002621083,0,1,0,0
BECY,BE,CY,0.287878788,0,0.001358696,0.002621083,0,1,0,0
BECZ,BE,CZ,0.318181818,0,0.001358696,0.002621083,0,1,0,1
BEDE,BE,DE,0.333333333,0,0.001358696,0.002621083,0,1,1,1
BEDK,BE,DK,0.53030303,0,0.001358696,0.002621083,0,1,0,1
BEEE,BE,EE,0.272727273,0,0.001358696,0.002621083,0,1,0,0
BEEL,BE,EL,0.46969697,0,0.001358696,0.002621083,0,1,0,0
BEES,BE,ES,0.303030303,0,0.001358696,0.002621083,0,1,0,0
BEFI,BE,FI,0.439393939,0,0.001358696,0.002621083,0,1,0,0
BEFR,BE,FR,0.409090909,0,0.001358696,0.002621083,0,1,1,1
BEHU,BE,HU,0.348484848,0,0.001358696,0.002621083,0,1,0,1
BEIE,BE,IE,0.515151515,0,0.001358696,0.002621083,0,1,0,0
BEIT,BE,IT,0.393939394,0,0.001358696,0.002621083,0,1,0,0
BELT,BE,LT,0.287878788,0,0.001358696,0.002621083,0,1,0,0
BELU,BE,LU,0.424242424,0,0.001358696,0.002621083,0,1,1,1
BELV,BE,LV,0.303030303,0,0.001358696,0.002621083,0,1,0,0
BEMT,BE,MT,0.333333333,0,0.001358696,0.002621083,0,1,0,0
BENL,BE,NL,0.46969697,0,0.001358696,0.002621083,0,1,0,1
BEPL,BE,PL,0.348484848,0,0.001358696,0.002621083,0,1,0,1
BEPT,BE,PT,0.409090909,0,0.001358696,0.002621083,0,1,0,0
BERO,BE,RO,0.363636364,0,0.001358696,0.002621083,0,1,0,0
BESE,BE,SE,0.409090909,0,0.001358696,0.002621083,0,1,0,1
BESI,BE,SI,0.333333333,0,0.001358696,0.002621083,0,1,0,0
BESK,BE,SK,0.333333333,0,0.001358696,0.002621083,0,1,0,0
BEUK,BE,UK,0.409090909,0,0.001358696,0.002621083,0,1,0,0
BGAT,BG,AT,0.393939394,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGBE,BG,BE,0.333333333,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGCY,BG,CY,0.378787879,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGCZ,BG,CZ,0.409090909,0,-0.001433692,0.002621083,0.008666667,26,1,1
BGDE,BG,DE,0.257575758,0,-0.001433692,0.002621083,0.008666667,26,0,1
BGDK,BG,DK,0.227272727,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGEE,BG,EE,0.424242424,0,-0.001433692,0.002621083,0.008666667,26,0,1
BGEL,BG,EL,0.393939394,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGES,BG,ES,0.333333333,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGFI,BG,FI,0.318181818,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGFR,BG,FR,0.212121212,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGHU,BG,HU,0.439393939,0,-0.001433692,0.002621083,0.008666667,26,1,1
BGIE,BG,IE,0.333333333,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGIT,BG,IT,0.363636364,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGLT,BG,LT,0.454545455,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGLU,BG,LU,0.348484848,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGLV,BG,LV,0.439393939,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGMT,BG,MT,0.378787879,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGNL,BG,NL,0.242424242,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGPL,BG,PL,0.409090909,0,-0.001433692,0.002621083,0.008666667,26,1,1
BGPT,BG,PT,0.333333333,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGRO,BG,RO,0.484848485,0,-0.001433692,0.002621083,0.008666667,26,1,1
BGSE,BG,SE,0.212121212,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGSI,BG,SI,0.439393939,0,-0.001433692,0.002621083,0.008666667,26,0,0
BGSK,BG,SK,0.454545455,0,-0.001433692,0.002621083,0.008666667,26,1,1
BGUK,BG,UK,0.272727273,0,-0.001433692,0.002621083,0.008666667,26,0,1
CYAT,CY,AT,0.333333333,-1,-0.023019086,-0.020747524,0.120357143,24,0,0
CYBE,CY,BE,0.287878788,-1,-0.023019086,-0.020747524,0.120357143,24,0,0
CYBG,CY,BG,0.378787879,-1,-0.023019086,-0.020747524,0.120357143,24,0,0
CYCZ,CY,CZ,0.439393939,-1,-0.023019086,-0.020747524,0.120357143,24,0,0
CYDE,CY,DE,0.212121212,-1,-0.023019086,-0.020747524,0.120357143,24,0,0
CYDK,CY,DK,0.181818182,-1,-0.023019086,-0.020747524,0.120357143,24,0,0
CYEE,CY,EE,0.439393939,-1,-0.023019086,-0.020747524,0.120357143,24,0,0
CYEL,CY,EL,0.424242424,-1,-0.023019086,-0.020747524,0.120357143,24,1,1
CYES,CY,ES,0.272727273,-1,-0.023019086,-0.020747524,0.120357143,24,0,1
CYFI,CY,FI,0.272727273,-1,-0.023019086,-0.020747524,0.120357143,24,0,0
CYFR,CY,FR,0.318181818,-1,-0.023019086,-0.020747524,0.120357143,24,1,1
CYHU,CY,HU,0.515151515,-1,-0.023019086,-0.020747524,0.120357143,24,0,0
CYIE,CY,IE,0.348484848,-1,-0.023019086,-0.020747524,0.120357143,24,0,0
