dgr_pre,dgr_post,cls_pre,cls_post,btw_pre,btw_post,cty
3,3,0.28125,0.282608696,0.071225071,0.073846154,BE
6,5,0.310344828,0.298850575,0.154646588,0.148205128,DK
4,4,0.317647059,0.317073171,0.135639669,0.162564103,DE
5,5,0.284210526,0.282608696,0.044159544,0.040512821,EL
1,1,0.216,0.216666667,0,0,ES
7,7,0.333333333,0.333333333,0.260832994,0.302820513,FR
2,2,0.27,0.268041237,0.007393841,0.031794872,IE
3,3,0.267326733,0.268041237,0,0,IT
1,1,0.223140496,0.224137931,0,0,LU
1,1,0.241071429,0.234234234,0,0,NL
5,5,0.303370787,0.302325581,0.094444444,0.10025641,AT
4,4,0.27,0.270833333,0.071225071,0.073846154,PT
4,4,0.27,0.265306122,0.013756614,0.011794872,FI
6,5,0.306818182,0.298850575,0.098670465,0.120512821,SE
5,5,0.275510204,0.270833333,0.031515398,0.029230769,EE
3,3,0.247706422,0.247619048,0.002374169,0.002564103,LV
3,3,0.290322581,0.292134831,0.057604124,0.067179487,LT
7,7,0.3375,0.337662338,0.210548094,0.238461538,PL
7,6,0.325301205,0.317073171,0.112678063,0.096666667,CZ
5,5,0.3,0.298850575,0.033882784,0.044102564,SK
5,5,0.296703297,0.295454545,0.009259259,0.010512821,HU
1,1,0.236842105,0.236363636,0,0,SI
4,3,0.296703297,0.273684211,0.030491114,0.00974359,CY
5,4,0.3,0.288888889,0.066273233,0.069230769,MT
5,5,0.290322581,0.288888889,0.071225071,0.073846154,BG
1,1,0.228813559,0.228070175,0,0,RO
0,0,0.035714286,0.037037037,0,0,HR
